Quantity	Part Number	Color	Description	Notes
1	3704a	Black	Technic Axle 2 Notched	
1	3705	Black	Technic Axle 4	
2	4519	MdStone	Technic Axle 3	
1	3002	Black	Brick 2 x 3	
3	3004	Black	Brick 1 x 2	
8	3005	Black	Brick 1 x 1	
3	3622	Black	Brick 1 x 3	
8	3005	White	Brick 1 x 1	
11	3004	Tan	Brick 1 x 2	
5	3005	Tan	Brick 1 x 1	
2	3010	Tan	Brick 1 x 4	
1	3622	Tan	Brick 1 x 3	
1	4265c	MdStone	Technic Bush 1/2 Smooth with Axle Hole Semi-Reduced	
2	32013	Black	Technic Axle and Pin Connector Angled #1	
4	18654	DkStone	Technic Pin Connector Round 1L  [Beam]	
6	32054	Black	Technic Pin Long with Friction Ridges Lengthwise and Stop Bush	
4	4274	MdStone	Technic Pin 1/2	
4	3020	Black	Plate 2 x 4	
6	3021	Black	Plate 2 x 3	
2	3022	Black	Plate 2 x 2	
5	3023	Black	Plate 1 x 2	
6	30008	Black	Plate 1 x 1	
2	3460	Black	Plate 1 x 8	
5	3623	Black	Plate 1 x 3	
1	3710	Black	Plate 1 x 4	
4	2420	White	Plate 2 x 2 Corner	
1	3023	White	Plate 1 x 2	
1	3032	White	Plate 4 x 6	
1	3666	White	Plate 1 x 6	
3	3795	White	Plate 2 x 6	
2	60479	White	Plate 1 x 12	
1	2420	Tan	Plate 2 x 2 Corner	
2	3020	Tan	Plate 2 x 4	
5	3021	Tan	Plate 2 x 3	
1	3022	Tan	Plate 2 x 2	
14	3023	Tan	Plate 1 x 2	
8	30008	Tan	Plate 1 x 1	
2	3623	Tan	Plate 1 x 3	
1	3666	Tan	Plate 1 x 6	
4	3710	Tan	Plate 1 x 4	
2	3023	DkStone	Plate 1 x 2	
4	30008	DkStone	Plate 1 x 1	
1	3031	DkStone	Plate 4 x 4	
2	3623	DkStone	Plate 1 x 3	
2	2431b	Black	Tile 1 x 4 with Groove	
5	3070b	Black	Tile 1 x 1 with Groove	
2	87079	Black	Tile 2 x 4 with Groove	
1	2431b	White	Tile 1 x 4 with Groove	
1	3070b	White	Tile 1 x 1 with Groove	
2	63864	White	Tile 1 x 3	
4	87079	White	Tile 2 x 4 with Groove	
2	2431b	Tan	Tile 1 x 4 with Groove	
8	3069b	Tan	Tile 1 x 2 with Groove	
3	3070b	Tan	Tile 1 x 1 with Groove	
2	6636	Tan	Tile 1 x 6 with Groove	
2	98138	Clear	Tile Round 1 x 1	
1	3070b	DkStone	Tile 1 x 1 with Groove	
1	63864	DkStone	Tile 1 x 3	
1	41769	Tan	Wedge Plate 4 x 2 Right	
1	41770	Tan	Wedge Plate 4 x 2 Left	
4	54200	White	Slope 30° 1 x 1 x 2/3 (Cheese Slope)	
4	x1972	White	Slope 30° 1 x 2 x 2/3	
2	3040b	Tan	Slope 45° 2 x 1 with Bottom Pin	
2	3298	Tan	Slope 33° 3 x 2	
2	3665	Tan	Slope Inverted 45° 2 x 1	
2	3747	Tan	Slope Inverted 33° 3 x 2 [No Connections between Studs]	
2	4286	Tan	Slope 33° 3 x 1	
2	92946	Tan	Slope 45° 2 x 1 with 2/3 Cutout [Original Version]	
6	54200	Smoke	Slope 30° 1 x 1 x 2/3 (Cheese Slope)	
1	52031	White	Wedge 4 x 6 x 2/3 Triple Curved	
4	6091	Tan	Brick Curved 1 x 2 x 1 1/3 with Curved Top	
2	11477	DkStone	Slope Curved 2 x 1 No Studs [1/2 Bow]	
1	4070	Black	Brick Special 1 x 1 with Headlight and No Slot	
5	4070	Tan	Brick Special 1 x 1 with Headlight and No Slot	
4	87087	Tan	Brick Special 1 x 1 with Stud on 1 Side	
6	6541	Black	Technic Brick 1 x 1 with Hole	
2	3700	Tan	Technic Brick 1 x 2 [1 Hole]	
1	32124	Black	Technic Plate 1 x 5 with Smooth Ends, 4 Studs and Centre Axle Hole	
1	4599	MdStone	Tap  1 x  1 with Hole in Spout	
2	87552	White	Panel 1 x 2 x 2 [Side Supports / Hollow Studs]	
7	87552	Clear	Panel 1 x 2 x 2 [Side Supports / Hollow Studs]	
2	30413	RedBrown	Panel  1 x  4 x  1 with Rounded Corners [Thick Wall]	
2	2444	Black	Plate Special 2 x 2 with 1 Pin Hole [Split Underside Ribs]	
4	3794b	Black	Plate Special 1 x 2 with 1 Stud with Groove (Jumper)	
1	4081b	Black	Plate Special 1 x 1 with Clip Light [Thick Ring]	
1	32028	Tan	Plate Special 1 x 2 with Door Rail	
5	3794b	Tan	Plate Special 1 x 2 with 1 Stud with Groove (Jumper)	
1	49668	Tan	Plate Special 1 x 1 with Tooth	
6	2412b	Black	Tile Special 1 x 2 Grille with Bottom Groove	
1	2460	Tan	Tile Special 2 x 2 with Pin	
5	56897	Black	Tyre 30 x 10.5 Offset Tread [Centre Band]	
5	56902	MdStone	Wheel 18 x 8 with Fake Bolts and Shallow Spokes	
1	3829c01	Black	Vehicle Steering Stand 1 x 2 with Black Steering Wheel	
2	4079	RedBrown	Minifig Seat 2 x 2	
2	4073	White	Plate Round 1 x 1 with Solid Stud	
2	4073	Tan	Plate Round 1 x 1 with Solid Stud	
2	4073	TrRed	Plate Round 1 x 1 with Solid Stud	
1	4073	MdStone	Plate Round 1 x 1 with Solid Stud	
1	13760	White	Windscreen 2 x 6 x 2 Train without Glass	
1	13756	Clear	Glass for Windscreen 2 x 6 x 2	
