Part,Color,Num
32062,0,1
3705,0,1
4519,71,2
3002,0,1
3004,0,3
3005,0,8
3622,0,3
3005,15,8
3004,19,11
3005,19,5
3010,19,2
3622,19,1
32123b,71,1
32013,0,2
18654,72,4
32054,0,6
4274,71,4
3020,0,4
3021,0,6
3022,0,2
3023,0,5
3024,0,6
3460,0,2
3623,0,5
3710,0,1
2420,15,4
3023,15,1
3032,15,1
3666,15,1
3795,15,3
60479,15,2
2420,19,1
3020,19,2
3021,19,5
3022,19,1
3023,19,14
3024,19,8
3623,19,2
3666,19,1
3710,19,4
3023,72,2
3024,72,4
3031,72,1
3623,72,2
2431,0,2
3070b,0,5
87079,0,2
2431,15,1
3070b,15,1
63864,15,2
87079,15,4
2431,19,2
3069b,19,8
3070b,19,3
6636,19,2
98138,47,2
3070b,72,1
63864,72,1
41769,19,1
41770,19,1
54200,15,4
85984,15,4
3040b,19,2
3298,19,2
3665,19,2
3747a,19,2
4286,19,2
92946,19,2
54200,40,6
52031,15,1
6091,19,4
11477,72,2
4070,0,1
4070,19,5
87087,19,4
6541,0,6
3700,19,2
32124,0,1
4599a,71,1
87552,15,2
87552,47,7
43337,70,2
2444,0,2
3794b,0,4
4081b,0,1
32028,19,1
3794b,19,5
49668,19,1
2412b,0,6
2460,19,1
56897,0,5
56902,71,5
3829c01,0,1
4079,70,2
6141,15,2
6141,19,2
6141,36,2
6141,71,1
13760,15,1
13756,47,1
